question,answer,retrieved_sources
Какая температура на поверхности Солнца?,"температур на поверхности огромны: днём температура поднимается до 430 градусов Цельсия, а ночью опускается до минус 180 градусов. Температура на поверхности достигает примерно 5500 градусов Цельсия, а в ядре — около 15 миллионов градусов. Масса Солнца составляет около 99,86% всей массы Солнечной системы.","doc_01, doc_02, doc_01"
Почему на Венере так жарко?,"температур на поверхности огромны: днём температура поднимается до 430 градусов Цельсия, а ночью опускается до минус 180 градусов. Температура на её поверхности достигает 470 градусов Цельсия из-за мощнейшего парникового эффекта. У Луны практически нет атмосферы, поэтому перепады температуры на поверхности очень велики.","doc_03, doc_10, doc_02"
Какая самая большая планета Солнечной системы?,"Юпитер — крупнейшая планета Солнечной системы, газовый гигант с массой, превышающей массу всех остальных планет вместе взятых более чем в два раза. Солнце — центральная звезда Солнечной системы, вокруг которой вращаются все планеты и другие тела. Масса Солнца составляет около 99,86% всей массы Солнечной системы.","doc_06, doc_13, doc_01"
Из чего состоят кольца Сатурна?,"Кольца Сатурна состоят из миллиардов частиц льда и камня размером от песчинок до нескольких метров. Космический аппарат Кассини-Гюйгенс исследовал систему Сатурна с 2004 по 2017 год и передал огромный объём научных данных. Крупнейший спутник Нептуна — Тритон — движется по ретроградной орбите и, вероятно, является захваченным объектом пояса Койпера.","doc_07, doc_07, doc_09"
Когда человек впервые ступил на Луну?,"Всего в рамках программы Аполлон на Луне побывали 12 человек. В 1969 году астронавты миссии Аполлон-11 — Нил Армстронг и Базз Олдрин — стали первыми людьми, ступившими на поверхность Луны. 20 июля 1969 года Нил Армстронг стал первым человеком, ступившим на поверхность Луны в рамках миссии","doc_15, doc_10, doc_10"
Как обнаруживают экзопланеты?,"Особый интерес представляют экзопланеты в обитаемой зоне — области вокруг звезды, где возможно существование жидкой воды. Экзопланеты — планеты, обращающиеся вокруг звёзд за пределами Солнечной системы. Метод транзитов фиксирует небольшое ослабление блеска звезды, когда планета проходит перед ней.","doc_14, doc_14, doc_14"
Какой марсоход собирает образцы грунта?,"Персеверанс, прибывший на Марс в 2021 году, собирает образцы грунта для будущей доставки на Землю и сопровождается вертолётом Индженьюити Также на Марсе расположена гигантская система каньонов — Долины Маринера протяжённостью около 4000 километров. Многочисленные исследования подтверждают, что в прошлом на поверхности Марса существовала жидкая вода.","doc_16, doc_05, doc_05"
Что такое программа Артемида?,"Программа Артемида — серия пилотируемых лунных миссий NASA, направленных на возвращение человека на Луну. Артемида I — беспилотный тестовый полёт — успешно состоялась в 2022 году. В долгосрочной перспективе программа должна подготовить технологии для","doc_17, doc_17, doc_14"
Какая планета ближе всего к Солнцу и какова её температура ночью?,"Меркурий — ближайшая к Солнцу и самая маленькая планета Солнечной системы. температур на поверхности огромны: днём температура поднимается до 430 градусов Цельсия, а ночью опускается до минус 180 градусов. Из-за отсутствия значительной атмосферы перепады температур на поверхности огромны: днём температура поднимается до","doc_02, doc_01, doc_02"
Сравните атмосферы Марса и Венеры,Атмосфера Марса очень разрежённая и состоит преимущественно из углекислого газа. Венера — вторая планета от Солнца и самая горячая планета Солнечной системы. Космические телескопы Кеплер и TESS обнаружили тысячи экзопланет.,"doc_05, doc_03, doc_14"
Что общего у Урана и Нептуна?,"Атмосфера Урана содержит водород, гелий и метан, который придаёт планете характерный голубовато-зелёный цвет. У Урана есть тонкая система колец, открытая в 1977 году. Главная особенность Урана — его экстремальный наклон оси вращения, составляющий около 98 градусов, из-за чего планета буквально вращается на","doc_08, doc_08, doc_09"
Есть ли жизнь на Европе — спутнике Юпитера?,"По состоянию на 2024 год у Юпитера известно 95 спутников. Большое Красное Пятно — гигантский антициклон, бушующий на Юпитере уже более 350 лет. Диаметр Юпитера составляет около 139 820 километров.","doc_06, doc_06, doc_06"
Какой космический телескоп работает в инфракрасном диапазоне?,"Уэбб работает в инфракрасном диапазоне, что позволяет наблюдать самые далёкие и древние галактики, образовавшиеся вскоре после Большого взрыва. Джеймс Уэбб работает в инфракрасном диапазоне, что позволяет наблюдать Космический телескоп Джеймс Уэбб — крупнейший и самый мощный космический телескоп, запущенный в декабре 2021 года.","doc_18, doc_18, doc_18"
